Name,Formula,Ionization_mode,min_rt,max_rt,File
D-(-)-Citramalic Acid,C5H8O5,Negative,45,60,DCitramalic_Acid_80neg_2.mzML
Esculetin,C9H6O4,Negative,139,146,Esculetin_80neg_3.mzML
Isoscopoletin,C10H8O4,Negative,165,170,Isoscopoletin_80neg_4.mzML
Scopoletin,C10H8O4,Negative,170,176,Scopoletin_80neg_5.mzML
Apigenin,C15H10O5,Negative,233,240,Apigenin_80neg_6.mzML
Tamarixetin,C16H12O,Negative,240,250,4-OMe-Qercetin_80neg_7.mzML
3-O-methyl Quercetin,C16H12O7,Negative,219,228,3-OMe-Qercetin_80neg_8.mzML
Chlorogenic Acid,C16H18O9,Negative,131,136,ChlorogenicAcid10ppm_80neg_9.mzML
Cryptochlorogenic Acid,C16H18O9,Negative,133,138,CryptochlorogenicAcid_80neg_11.mzML
Neochlorogenic acid,C16H18O9,Negative,114,126,Neochlorogenic_acid_80neg_12.mzML
Guaijaverin,C20H18O11,Negative,173,185,Guaijaverin_80neg_13.mzML
Avicularin,C20H18O11,Negative,175,182,Avicularin_80neg_14.mzML
Cyanidin 3-Galactoside,C21H21O11,Negative,120,135,Cyanidin-3-O-Galactopyranoside_80neg_15.mzML
Eriodictyol 7-O-glucoside,C21H22O11,Negative,166,172,Eriodictyiol7-O-glucoside_80neg_16.mzML
Isoquercitroside,C21H20O12,Negative,167,173,
Saponarin,C27H30O15,Negative,148,154,Saponarin_80neg_20.mzML
